"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 26, 2015","95.47","95.17","95.67","95.08","0","0.29"
"Jun 25, 2015","95.19","95.28","95.51","95.09","0","-0.07"
"Jun 24, 2015","95.26","95.37","95.54","94.93","0","-0.18"
"Jun 23, 2015","95.43","94.29","95.64","94.30","0","1.17"
"Jun 22, 2015","94.33","94.00","94.45","93.81","0","0.27"
"Jun 19, 2015","94.08","94.03","94.50","93.90","0","0.04"
"Jun 18, 2015","94.04","94.22","94.23","93.56","0","-0.28"
"Jun 17, 2015","94.30","94.95","95.18","94.11","0","-0.74"
"Jun 16, 2015","95.00","94.83","95.23","94.56","0","0.20"
"Jun 15, 2015","94.81","95.16","95.39","94.73","0","-0.17"
"Jun 12, 2015","94.97","95.09","95.68","94.69","0","-0.01"
"Jun 11, 2015","94.98","94.70","95.59","94.71","0","0.35"
"Jun 10, 2015","94.65","95.14","95.23","94.32","0","-0.55"
"Jun 09, 2015","95.17","95.26","95.58","94.84","0","-0.14"
"Jun 08, 2015","95.30","96.47","96.55","95.05","0","-1.05"
"Jun 05, 2015","96.31","95.76","96.91","95.36","0","0.89"
"Jun 04, 2015","95.46","95.42","95.62","94.65","0","-0.01"
